"filename", "language", "JavaScript", "JSON", "Properties", "YAML", "XML", "C#", "HTML", "Markdown", "JavaScript JSX", "PostCSS", "Docker", "comment", "blank", "total"
"/home/alrightytighty/DataBeats/backend/Models/AdminDeletesAlbum.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 32
"/home/alrightytighty/DataBeats/backend/Models/AdminDeletesMusician.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 32
"/home/alrightytighty/DataBeats/backend/Models/AdminDeletesPlaylist.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 32
"/home/alrightytighty/DataBeats/backend/Models/AdminDeletesRating.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 32
"/home/alrightytighty/DataBeats/backend/Models/AdminDeletesSong.cs", "C#", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 14, 32
"/home/alrightytighty/DataBeats/backend/Models/AdminManagesUser.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 34
"/home/alrightytighty/DataBeats/backend/Models/Album.cs", "C#", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 24, 52
"/home/alrightytighty/DataBeats/backend/Models/AlbumContainsSong.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 34
"/home/alrightytighty/DataBeats/backend/Models/AlbumGenre.cs", "C#", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 15, 34
"/home/alrightytighty/DataBeats/backend/Models/AlbumOrSongArtFile.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 7, 18
"/home/alrightytighty/DataBeats/backend/Models/ApplicationDBContext.cs", "C#", 0, 0, 0, 0, 0, 1345, 0, 0, 0, 0, 0, 0, 402, 1747
"/home/alrightytighty/DataBeats/backend/Models/Artist.cs", "C#", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"/home/alrightytighty/DataBeats/backend/Models/AuthenticationInformation.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 11, 26
"/home/alrightytighty/DataBeats/backend/Models/Complaint.cs", "C#", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 11, 26
"/home/alrightytighty/DataBeats/backend/Models/Event.cs", "C#", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 18, 40
"/home/alrightytighty/DataBeats/backend/Models/EventPictureFile.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 22
"/home/alrightytighty/DataBeats/backend/Models/Musician.cs", "C#", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 35, 74
"/home/alrightytighty/DataBeats/backend/Models/MusicianHostsEvent.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 8, 20
"/home/alrightytighty/DataBeats/backend/Models/MusicianWorksOnAlbum.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 22
"/home/alrightytighty/DataBeats/backend/Models/MusicianWorksOnSong.cs", "C#", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 22
"/home/alrightytighty/DataBeats/backend/Models/Playlist.cs", "C#", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 20, 44
"/home/alrightytighty/DataBeats/backend/Models/PlaylistEntry.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 12, 28
"/home/alrightytighty/DataBeats/backend/Models/PlaylistPictureFile.cs", "C#", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 7, 18
"/home/alrightytighty/DataBeats/backend/Models/ProfilePictureFile.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 8, 20
"/home/alrightytighty/DataBeats/backend/Models/Review.cs", "C#", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 17, 38
"/home/alrightytighty/DataBeats/backend/Models/Session.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 8, 20
"/home/alrightytighty/DataBeats/backend/Models/Song.cs", "C#", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 29, 62
